author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/312803236/;Москва;sale;flat;17;17;2;58.5;16000000;Гольяново;Байкальская ;18К1;Щёлковская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302997502/;Москва;sale;flat;42;44;5;280.0;137000000;Фили-Давыдково;Давыдковская ;3;Славянский бульвар;Эдельвейс
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309776504/;Москва;sale;flat;16;16;3;123.0;63990000;Даниловский;Павелецкая набережная;6А;Крестьянская застава;Резиденции Композиторов
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/314587011/;Москва;sale;flat;17;22;5;198.0;110000000;Тропарево-Никулино;проспект Вернадского;92;Тропарёво;Корона
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/315306701/;Москва;sale;flat;10;27;2;35.7;23000000;Хорошевский; Зорге;9к2;Полежаевская;Рихард
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/312718466/;Москва;sale;flat;6;9;1;32.0;10150000;Ясенево;Голубинская ;7К5;Ясенево;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290380862/;Москва;sale;flat;5;5;4;234.0;150000000;Покровское-Стрешнево;Береговая ;8К1;Стрешнево;
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/312758513/;Москва;sale;flat;14;14;3;84.5;16300000;; 3-я Нововатутинская;2;Ольховая;Новые Ватутинки, мкр. Центральный
Rielt Group Agency;real_estate_agent;https://www.cian.ru/sale/flat/314794140/;Москва;sale;flat;5;5;3;109.7;84880000;Тверской;переулок Брюсов;12;Охотный ряд;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/312868239/;Москва;sale;flat;15;16;2;62.6;25000000;Красносельский;Большая Спасская ;10К1;Площадь трёх вокзалов;
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/308562785/;Москва;sale;flat;18;44;2;71.0;43000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/310325565/;Москва;sale;flat;13;44;4;117.0;90000000;Раменки;Минская ;2;Минская;Долина Сетунь
Андрей Кряжев;realtor;https://www.cian.ru/sale/flat/312804302/;Москва;sale;flat;7;9;2;44.0;12700000;Чертаново Центральное;Днепропетровская ;27к1;Южная;
CENTURY 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/310431008/;Москва;sale;flat;9;12;3;106.6;76000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
CENTURY 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/303869601/;Москва;sale;flat;3;17;3;97.5;85000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/315112797/;Москва;sale;flat;11;26;1;19.6;8100000;Кунцево;№ 100 кв-л;1к3;Павшино;Мякинино парк
Северная слобода;real_estate_agent;https://www.cian.ru/sale/flat/284287955/;Москва;sale;flat;1;4;3;83.3;32400000;Северный;Дмитровское шоссе;122Гк1;Физтех;
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/312897522/;Москва;sale;flat;2;6;3;125.0;130000000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/312720596/;Москва;sale;flat;6;6;5;196.0;123900000;Семейная кв-ра в е Тверской5-комн. квартира;196 м²;6/6 этаж;;
CENTURY 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304247053/;Москва;sale;flat;6;17;3;112.6;93000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/304198504/;Москва;sale;flat;19;29;4;162.7;85000000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315258027/;Москва;sale;flat;24;37;2;62.0;28500000;Новое предложение в е Беговой2-комн. квартира;62 м²;;;
